NAME,County,State,variable,estimate,Sex,Age,HI_Coverage
"St. Clair County, Illinois",St. Clair, Illinois,B27001_053,11638,Female,65 to 74 years,Yes
"St. Clair County, Illinois",St. Clair, Illinois,B27001_054,22,Female,65 to 74 years,No
"St. Clair County, Illinois",St. Clair, Illinois,B27001_056,9605,Female,75 years and over,Yes
"St. Clair County, Illinois",St. Clair, Illinois,B27001_057,58,Female,75 years and over,No
"Saline County, Illinois",Saline, Illinois,B27001_004,850,Male,Under 6 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_005,25,Male,Under 6 years,No
"Saline County, Illinois",Saline, Illinois,B27001_007,2048,Male,6 to 18 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_008,15,Male,6 to 18 years,No
"Saline County, Illinois",Saline, Illinois,B27001_010,669,Male,19 to 25 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_011,238,Male,19 to 25 years,No
"Saline County, Illinois",Saline, Illinois,B27001_013,1211,Male,26 to 34 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_014,153,Male,26 to 34 years,No
"Saline County, Illinois",Saline, Illinois,B27001_016,1199,Male,35 to 44 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_017,100,Male,35 to 44 years,No
"Saline County, Illinois",Saline, Illinois,B27001_019,1501,Male,45 to 54 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_020,55,Male,45 to 54 years,No
"Saline County, Illinois",Saline, Illinois,B27001_022,1592,Male,55 to 64 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_023,71,Male,55 to 64 years,No
"Saline County, Illinois",Saline, Illinois,B27001_025,1222,Male,65 to 74 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_026,0,Male,65 to 74 years,No
"Saline County, Illinois",Saline, Illinois,B27001_028,769,Male,75 years and over,Yes
"Saline County, Illinois",Saline, Illinois,B27001_029,0,Male,75 years and over,No
"Saline County, Illinois",Saline, Illinois,B27001_032,779,Female,Under 6 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_033,38,Female,Under 6 years,No
"Saline County, Illinois",Saline, Illinois,B27001_035,1693,Female,6 to 18 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_036,79,Female,6 to 18 years,No
"Saline County, Illinois",Saline, Illinois,B27001_038,792,Female,19 to 25 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_039,103,Female,19 to 25 years,No
"Saline County, Illinois",Saline, Illinois,B27001_041,1284,Female,26 to 34 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_042,37,Female,26 to 34 years,No
"Saline County, Illinois",Saline, Illinois,B27001_044,1268,Female,35 to 44 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_045,89,Female,35 to 44 years,No
"Saline County, Illinois",Saline, Illinois,B27001_047,1579,Female,45 to 54 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_048,91,Female,45 to 54 years,No
"Saline County, Illinois",Saline, Illinois,B27001_050,1619,Female,55 to 64 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_051,108,Female,55 to 64 years,No
"Saline County, Illinois",Saline, Illinois,B27001_053,1404,Female,65 to 74 years,Yes
"Saline County, Illinois",Saline, Illinois,B27001_054,0,Female,65 to 74 years,No
"Saline County, Illinois",Saline, Illinois,B27001_056,1087,Female,75 years and over,Yes
"Saline County, Illinois",Saline, Illinois,B27001_057,0,Female,75 years and over,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_004,7059,Male,Under 6 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_005,65,Male,Under 6 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_007,16570,Male,6 to 18 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_008,288,Male,6 to 18 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_010,7255,Male,19 to 25 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_011,922,Male,19 to 25 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_013,9263,Male,26 to 34 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_014,1197,Male,26 to 34 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_016,10645,Male,35 to 44 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_017,1028,Male,35 to 44 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_019,11854,Male,45 to 54 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_020,938,Male,45 to 54 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_022,12370,Male,55 to 64 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_023,670,Male,55 to 64 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_025,8585,Male,65 to 74 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_026,0,Male,65 to 74 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_028,5054,Male,75 years and over,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_029,0,Male,75 years and over,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_032,6904,Female,Under 6 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_033,145,Female,Under 6 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_035,15806,Female,6 to 18 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_036,290,Female,6 to 18 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_038,7625,Female,19 to 25 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_039,610,Female,19 to 25 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_041,11073,Female,26 to 34 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_042,577,Female,26 to 34 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_044,11811,Female,35 to 44 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_045,557,Female,35 to 44 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_047,12983,Female,45 to 54 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_048,605,Female,45 to 54 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_050,14211,Female,55 to 64 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_051,360,Female,55 to 64 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_053,10260,Female,65 to 74 years,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_054,31,Female,65 to 74 years,No
"Sangamon County, Illinois",Sangamon, Illinois,B27001_056,7977,Female,75 years and over,Yes
"Sangamon County, Illinois",Sangamon, Illinois,B27001_057,12,Female,75 years and over,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_004,174,Male,Under 6 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_005,0,Male,Under 6 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_007,514,Male,6 to 18 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_008,8,Male,6 to 18 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_010,203,Male,19 to 25 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_011,57,Male,19 to 25 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_013,244,Male,26 to 34 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_014,109,Male,26 to 34 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_016,341,Male,35 to 44 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_017,168,Male,35 to 44 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_019,317,Male,45 to 54 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_020,268,Male,45 to 54 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_022,413,Male,55 to 64 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_023,147,Male,55 to 64 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_025,378,Male,65 to 74 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_026,41,Male,65 to 74 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_028,265,Male,75 years and over,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_029,13,Male,75 years and over,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_032,199,Female,Under 6 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_033,0,Female,Under 6 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_035,534,Female,6 to 18 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_036,8,Female,6 to 18 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_038,126,Female,19 to 25 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_039,62,Female,19 to 25 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_041,287,Female,26 to 34 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_042,27,Female,26 to 34 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_044,353,Female,35 to 44 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_045,14,Female,35 to 44 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_047,432,Female,45 to 54 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_048,24,Female,45 to 54 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_050,470,Female,55 to 64 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_051,28,Female,55 to 64 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_053,385,Female,65 to 74 years,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_054,0,Female,65 to 74 years,No
"Schuyler County, Illinois",Schuyler, Illinois,B27001_056,377,Female,75 years and over,Yes
"Schuyler County, Illinois",Schuyler, Illinois,B27001_057,0,Female,75 years and over,No
"Scott County, Illinois",Scott, Illinois,B27001_004,150,Male,Under 6 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_005,0,Male,Under 6 years,No
"Scott County, Illinois",Scott, Illinois,B27001_007,447,Male,6 to 18 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_008,3,Male,6 to 18 years,No
"Scott County, Illinois",Scott, Illinois,B27001_010,188,Male,19 to 25 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_011,12,Male,19 to 25 years,No
"Scott County, Illinois",Scott, Illinois,B27001_013,128,Male,26 to 34 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_014,52,Male,26 to 34 years,No
"Scott County, Illinois",Scott, Illinois,B27001_016,291,Male,35 to 44 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_017,11,Male,35 to 44 years,No
"Scott County, Illinois",Scott, Illinois,B27001_019,324,Male,45 to 54 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_020,27,Male,45 to 54 years,No
"Scott County, Illinois",Scott, Illinois,B27001_022,370,Male,55 to 64 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_023,25,Male,55 to 64 years,No
"Scott County, Illinois",Scott, Illinois,B27001_025,223,Male,65 to 74 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_026,0,Male,65 to 74 years,No
"Scott County, Illinois",Scott, Illinois,B27001_028,189,Male,75 years and over,Yes
"Scott County, Illinois",Scott, Illinois,B27001_029,4,Male,75 years and over,No
"Scott County, Illinois",Scott, Illinois,B27001_032,170,Female,Under 6 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_033,0,Female,Under 6 years,No
"Scott County, Illinois",Scott, Illinois,B27001_035,431,Female,6 to 18 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_036,0,Female,6 to 18 years,No
"Scott County, Illinois",Scott, Illinois,B27001_038,161,Female,19 to 25 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_039,1,Female,19 to 25 years,No
"Scott County, Illinois",Scott, Illinois,B27001_041,198,Female,26 to 34 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_042,43,Female,26 to 34 years,No
"Scott County, Illinois",Scott, Illinois,B27001_044,286,Female,35 to 44 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_045,8,Female,35 to 44 years,No
"Scott County, Illinois",Scott, Illinois,B27001_047,367,Female,45 to 54 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_048,5,Female,45 to 54 years,No
"Scott County, Illinois",Scott, Illinois,B27001_050,361,Female,55 to 64 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_051,8,Female,55 to 64 years,No
"Scott County, Illinois",Scott, Illinois,B27001_053,269,Female,65 to 74 years,Yes
"Scott County, Illinois",Scott, Illinois,B27001_054,0,Female,65 to 74 years,No
"Scott County, Illinois",Scott, Illinois,B27001_056,243,Female,75 years and over,Yes
"Scott County, Illinois",Scott, Illinois,B27001_057,0,Female,75 years and over,No
"Shelby County, Illinois",Shelby, Illinois,B27001_004,714,Male,Under 6 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_005,3,Male,Under 6 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_007,1760,Male,6 to 18 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_008,28,Male,6 to 18 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_010,645,Male,19 to 25 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_011,120,Male,19 to 25 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_013,978,Male,26 to 34 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_014,125,Male,26 to 34 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_016,1106,Male,35 to 44 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_017,126,Male,35 to 44 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_019,1359,Male,45 to 54 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_020,78,Male,45 to 54 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_022,1507,Male,55 to 64 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_023,80,Male,55 to 64 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_025,1227,Male,65 to 74 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_026,0,Male,65 to 74 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_028,872,Male,75 years and over,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_029,0,Male,75 years and over,No
"Shelby County, Illinois",Shelby, Illinois,B27001_032,691,Female,Under 6 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_033,0,Female,Under 6 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_035,1675,Female,6 to 18 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_036,8,Female,6 to 18 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_038,782,Female,19 to 25 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_039,16,Female,19 to 25 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_041,911,Female,26 to 34 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_042,104,Female,26 to 34 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_044,1117,Female,35 to 44 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_045,44,Female,35 to 44 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_047,1386,Female,45 to 54 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_048,112,Female,45 to 54 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_050,1554,Female,55 to 64 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_051,89,Female,55 to 64 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_053,1322,Female,65 to 74 years,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_054,0,Female,65 to 74 years,No
"Shelby County, Illinois",Shelby, Illinois,B27001_056,1108,Female,75 years and over,Yes
"Shelby County, Illinois",Shelby, Illinois,B27001_057,0,Female,75 years and over,No
"Stark County, Illinois",Stark, Illinois,B27001_004,141,Male,Under 6 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_005,34,Male,Under 6 years,No
"Stark County, Illinois",Stark, Illinois,B27001_007,417,Male,6 to 18 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_008,15,Male,6 to 18 years,No
"Stark County, Illinois",Stark, Illinois,B27001_010,166,Male,19 to 25 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_011,24,Male,19 to 25 years,No
"Stark County, Illinois",Stark, Illinois,B27001_013,210,Male,26 to 34 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_014,49,Male,26 to 34 years,No
"Stark County, Illinois",Stark, Illinois,B27001_016,263,Male,35 to 44 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_017,54,Male,35 to 44 years,No
"Stark County, Illinois",Stark, Illinois,B27001_019,318,Male,45 to 54 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_020,49,Male,45 to 54 years,No
"Stark County, Illinois",Stark, Illinois,B27001_022,405,Male,55 to 64 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_023,23,Male,55 to 64 years,No
"Stark County, Illinois",Stark, Illinois,B27001_025,296,Male,65 to 74 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_026,3,Male,65 to 74 years,No
"Stark County, Illinois",Stark, Illinois,B27001_028,209,Male,75 years and over,Yes
"Stark County, Illinois",Stark, Illinois,B27001_029,4,Male,75 years and over,No
"Stark County, Illinois",Stark, Illinois,B27001_032,191,Female,Under 6 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_033,0,Female,Under 6 years,No
"Stark County, Illinois",Stark, Illinois,B27001_035,449,Female,6 to 18 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_036,13,Female,6 to 18 years,No
"Stark County, Illinois",Stark, Illinois,B27001_038,175,Female,19 to 25 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_039,12,Female,19 to 25 years,No
"Stark County, Illinois",Stark, Illinois,B27001_041,208,Female,26 to 34 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_042,16,Female,26 to 34 years,No
"Stark County, Illinois",Stark, Illinois,B27001_044,282,Female,35 to 44 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_045,16,Female,35 to 44 years,No
"Stark County, Illinois",Stark, Illinois,B27001_047,346,Female,45 to 54 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_048,10,Female,45 to 54 years,No
"Stark County, Illinois",Stark, Illinois,B27001_050,375,Female,55 to 64 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_051,34,Female,55 to 64 years,No
"Stark County, Illinois",Stark, Illinois,B27001_053,305,Female,65 to 74 years,Yes
"Stark County, Illinois",Stark, Illinois,B27001_054,0,Female,65 to 74 years,No
"Stark County, Illinois",Stark, Illinois,B27001_056,286,Female,75 years and over,Yes
"Stark County, Illinois",Stark, Illinois,B27001_057,0,Female,75 years and over,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_004,1506,Male,Under 6 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_005,53,Male,Under 6 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_007,3481,Male,6 to 18 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_008,82,Male,6 to 18 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_010,1529,Male,19 to 25 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_011,249,Male,19 to 25 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_013,1620,Male,26 to 34 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_014,459,Male,26 to 34 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_016,1937,Male,35 to 44 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_017,237,Male,35 to 44 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_019,2782,Male,45 to 54 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_020,235,Male,45 to 54 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_022,3288,Male,55 to 64 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_023,99,Male,55 to 64 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_025,2368,Male,65 to 74 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_026,19,Male,65 to 74 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_028,1720,Male,75 years and over,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_029,0,Male,75 years and over,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_032,1612,Female,Under 6 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_033,53,Female,Under 6 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_035,3281,Female,6 to 18 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_036,126,Female,6 to 18 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_038,1562,Female,19 to 25 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_039,274,Female,19 to 25 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_041,1716,Female,26 to 34 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_042,171,Female,26 to 34 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_044,2484,Female,35 to 44 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_045,77,Female,35 to 44 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_047,2887,Female,45 to 54 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_048,131,Female,45 to 54 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_050,3443,Female,55 to 64 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_051,107,Female,55 to 64 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_053,2687,Female,65 to 74 years,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_054,34,Female,65 to 74 years,No
"Stephenson County, Illinois",Stephenson, Illinois,B27001_056,2342,Female,75 years and over,Yes
"Stephenson County, Illinois",Stephenson, Illinois,B27001_057,41,Female,75 years and over,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_004,4933,Male,Under 6 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_005,70,Male,Under 6 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_007,11060,Male,6 to 18 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_008,332,Male,6 to 18 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_010,4476,Male,19 to 25 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_011,448,Male,19 to 25 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_013,6415,Male,26 to 34 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_014,719,Male,26 to 34 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_016,7902,Male,35 to 44 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_017,423,Male,35 to 44 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_019,8027,Male,45 to 54 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_020,486,Male,45 to 54 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_022,8434,Male,55 to 64 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_023,322,Male,55 to 64 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_025,6028,Male,65 to 74 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_026,11,Male,65 to 74 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_028,4125,Male,75 years and over,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_029,5,Male,75 years and over,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_032,4663,Female,Under 6 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_033,80,Female,Under 6 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_035,10675,Female,6 to 18 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_036,184,Female,6 to 18 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_038,4615,Female,19 to 25 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_039,308,Female,19 to 25 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_041,6879,Female,26 to 34 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_042,316,Female,26 to 34 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_044,8295,Female,35 to 44 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_045,241,Female,35 to 44 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_047,8366,Female,45 to 54 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_048,386,Female,45 to 54 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_050,8835,Female,55 to 64 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_051,546,Female,55 to 64 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_053,6825,Female,65 to 74 years,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_054,0,Female,65 to 74 years,No
"Tazewell County, Illinois",Tazewell, Illinois,B27001_056,5966,Female,75 years and over,Yes
"Tazewell County, Illinois",Tazewell, Illinois,B27001_057,0,Female,75 years and over,No
"Union County, Illinois",Union, Illinois,B27001_004,521,Male,Under 6 years,Yes
"Union County, Illinois",Union, Illinois,B27001_005,29,Male,Under 6 years,No
"Union County, Illinois",Union, Illinois,B27001_007,1391,Male,6 to 18 years,Yes
"Union County, Illinois",Union, Illinois,B27001_008,47,Male,6 to 18 years,No
"Union County, Illinois",Union, Illinois,B27001_010,470,Male,19 to 25 years,Yes
"Union County, Illinois",Union, Illinois,B27001_011,111,Male,19 to 25 years,No
"Union County, Illinois",Union, Illinois,B27001_013,896,Male,26 to 34 years,Yes
"Union County, Illinois",Union, Illinois,B27001_014,86,Male,26 to 34 years,No
"Union County, Illinois",Union, Illinois,B27001_016,876,Male,35 to 44 years,Yes
"Union County, Illinois",Union, Illinois,B27001_017,112,Male,35 to 44 years,No
"Union County, Illinois",Union, Illinois,B27001_019,1094,Male,45 to 54 years,Yes
"Union County, Illinois",Union, Illinois,B27001_020,67,Male,45 to 54 years,No
"Union County, Illinois",Union, Illinois,B27001_022,1268,Male,55 to 64 years,Yes
"Union County, Illinois",Union, Illinois,B27001_023,34,Male,55 to 64 years,No
"Union County, Illinois",Union, Illinois,B27001_025,886,Male,65 to 74 years,Yes
"Union County, Illinois",Union, Illinois,B27001_026,8,Male,65 to 74 years,No
"Union County, Illinois",Union, Illinois,B27001_028,607,Male,75 years and over,Yes
"Union County, Illinois",Union, Illinois,B27001_029,0,Male,75 years and over,No
"Union County, Illinois",Union, Illinois,B27001_032,484,Female,Under 6 years,Yes
"Union County, Illinois",Union, Illinois,B27001_033,33,Female,Under 6 years,No
"Union County, Illinois",Union, Illinois,B27001_035,1254,Female,6 to 18 years,Yes
"Union County, Illinois",Union, Illinois,B27001_036,33,Female,6 to 18 years,No
"Union County, Illinois",Union, Illinois,B27001_038,572,Female,19 to 25 years,Yes
"Union County, Illinois",Union, Illinois,B27001_039,41,Female,19 to 25 years,No
"Union County, Illinois",Union, Illinois,B27001_041,802,Female,26 to 34 years,Yes
"Union County, Illinois",Union, Illinois,B27001_042,43,Female,26 to 34 years,No
